run_ts_utc,experiment_name,train_cut,test_cut,model,logloss,accuracy,bets,hit_rate,roi,profit,avg_odds,winner_logloss,winner_roi
2026-04-27T12:25:23.148916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,mlp,0.974585,0.530325,1029,29.0573,2.0201,0.3299,4.0264,0,1
2026-04-27T12:25:23.148916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,ensemble,0.97051,0.54068,0,0.0,0.0,0.0,0.0,0,0
2026-04-27T12:45:05.121695+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,base,0.993119,0.519231,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-27T12:45:05.121695+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,market,0.97051,0.54068,0,0.0,0.0,0.0,0.0,1,0
2026-04-27T12:45:05.121695+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,meta,0.978022,0.529586,958,27.8706,-2.2876,-0.3354,3.984,0,0
2026-04-27T12:45:05.121695+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,logreg,0.974558,0.532544,1192,34.8993,-0.6617,-0.128,3.4368,0,0
2026-04-27T12:45:05.121695+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,mlp,0.974585,0.530325,1029,29.0573,2.0201,0.3299,4.0264,0,1
2026-04-27T12:45:05.121695+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,ensemble,0.97051,0.54068,0,0.0,0.0,0.0,0.0,0,0
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,base,0.993119,0.519231,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,market,0.97051,0.54068,0,0.0,0.0,0.0,0.0,1,0
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,meta,0.978022,0.529586,958,27.8706,-2.2876,-0.3354,3.984,0,0
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,logreg,0.974558,0.532544,1192,34.8993,-0.6617,-0.128,3.4368,0,0
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,mlp,0.974585,0.530325,1029,29.0573,2.0201,0.3299,4.0264,0,1
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,ensemble,0.97051,0.54068,0,0.0,0.0,0.0,0.0,0,0
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,base,0.993119,0.519231,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,market,0.97051,0.54068,0,0.0,0.0,0.0,0.0,1,0
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,meta,0.978022,0.529586,958,27.8706,-2.2876,-0.3354,3.984,0,0
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,logreg,0.974558,0.532544,1192,34.8993,-0.6617,-0.128,3.4368,0,0
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,mlp,0.974585,0.530325,1029,29.0573,2.0201,0.3299,4.0264,0,1
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,ensemble,0.97051,0.54068,0,0.0,0.0,0.0,0.0,0,0
