run_ts_utc,experiment_name,model,feature_set,logloss,accuracy
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,mlp,core_18,0.987802,0.508582
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,xgb,no_understat_xg,0.983818,0.530197
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,mlp,no_understat_xg,1.008213,0.492053
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,xgb,market_plus_understat_xg,0.982657,0.530197
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,mlp,market_plus_understat_xg,0.986233,0.513032
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,xgb,market_context_plus_understat_xg,0.981005,0.532104
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,mlp,market_context_plus_understat_xg,0.984954,0.517483
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,xgb,no_market,0.995249,0.520025
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,mlp,no_market,1.00981,0.497139
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,xgb,market_only,0.98084,0.527654
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,mlp,market_only,1.003351,0.521933
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,xgb,market_plus_context,0.980261,0.528926
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,mlp,market_plus_context,1.000475,0.530197
2026-05-11T14:04:06.549234+00:00,final_market_xg_comparison,xgb,core_18,0.983652,0.537826
2026-05-11T14:04:06.549234+00:00,final_market_xg_comparison,mlp,core_18,0.987802,0.508582
2026-05-11T14:04:06.549234+00:00,final_market_xg_comparison,xgb,no_understat_xg,0.983818,0.530197
2026-05-11T14:04:06.549234+00:00,final_market_xg_comparison,mlp,no_understat_xg,1.008213,0.492053
2026-05-11T14:04:06.549234+00:00,final_market_xg_comparison,xgb,market_plus_understat_xg,0.982657,0.530197
